id_auto  marca  modelo;anio;kilometraje;combustible;transmision;color;precio_usd
;;;;;;
;;;;;;
AUT-001  Volkswagen  Gol;2026;2353;Nafta;Manual;Rojo;15200.0
AUT-002  Hyundai  Tucson;2024;29344;Nafta;Manual;Gris Plata;21800.0
AUT-003  Nissan  Frontier;2023;43699;Nafta;Automático;Azul;14000.0
AUT-004  Toyota  Hilux;2026;3562;Nafta;Manual;Gris Plata;22800.0
AUT-005  Volkswagen  Gol;2021;58801;Diesel;Automático;Blanco Perlado;7100.0
AUT-006  Honda  Accord;2016;158301;Nafta;Automático;Azul;4000.0
AUT-007  Volkswagen  Gol;2025;13474;Eléctrico;Manual;Blanco Perlado;13500.0
AUT-008  Peugeot  3008;2022;82637;Nafta;Automático;Gris Plata;17600.0
AUT-009  Renault  Sandero;2024;38609;Nafta;Manual;Gris Plata;20000.0
AUT-010  Peugeot  3008;2025;25399;Nafta;Automático;Blanco Perlado;11600.0
AUT-011  Chevrolet  Onix;2020;98818;Nafta;Automático;Gris Plata;13600.0
AUT-012  Honda  Fit;2025;14857;Nafta;Manual;Rojo;26600.0
AUT-013  Hyundai  HB20;2026;4888;Nafta;Automático;Gris Oscuro;18900.0
AUT-014  Ford  Mustang;2022;41727;Diesel;Manual;Rojo;10600.0
AUT-015  Peugeot  408;2016;164292;Nafta;Automático;Azul;4000.0
AUT-016  Hyundai  Tucson;2025;18684;Diesel;Automático;Blanco Perlado;28500.0
AUT-017  Fiat  Cronos;2019;117452;Nafta;Automático;Azul;6100.0
AUT-018  Hyundai  Tucson;2025;18206;Nafta;Manual;Gris Oscuro;14900.0
AUT-019  Hyundai  Santa Fe;2015;218253;Nafta;Manual;Gris Oscuro;4000.0
AUT-020  Chevrolet  Onix;2018;199375;Híbrido;Manual;Rojo;4800.0
AUT-021  Volkswagen  Vento;2017;111714;Híbrido;Manual;Gris Oscuro;8700.0
AUT-022  Nissan  Sentra;2018;148975;Diesel;Automático;Rojo;8600.0
AUT-023  Fiat  Argo;2023;49173;Nafta;Manual;Gris Oscuro;8300.0
AUT-024  Nissan  March;2018;155736;Nafta;Manual;Gris Plata;4000.0
AUT-025  Toyota  RAV4;2016;183129;Nafta;Automático;Gris Plata;5000.0
AUT-026  Ford  Mustang;2024;34469;Diesel;Automático;Gris Plata;11300.0
AUT-027  Volkswagen  T-Cross;2020;103369;Nafta;Manual;Rojo;13300.0
AUT-028  Volkswagen  Gol;2021;110214;Diesel;Manual;Gris Plata;7600.0
AUT-029  Chevrolet  Joy;2022;51096;Nafta;Automático;Gris Plata;8600.0
AUT-030  Honda  Accord;2016;112136;Diesel;Manual;Blanco Perlado;5400.0
AUT-031  Ford  EcoSport;2022;70046;Diesel;Manual;Gris Plata;13400.0
AUT-032  Toyota  Yaris;2019;162376;Nafta;Automático;Gris Plata;4700.0
AUT-033  Renault  Logan;2015;218262;Nafta;Automático;Blanco;4000.0
AUT-034  Nissan  Sentra;2023;75611;Nafta;Manual;Blanco Perlado;10500.0
AUT-035  Volkswagen  Vento;2016;209473;Nafta;Manual;Azul;4100.0
AUT-036  Toyota  Prius;2016;173242;Nafta;Automático;Gris Oscuro;4000.0
